Site,Sample,Longitude,Latitude,Altitude,MAP (mm),Silt (%),Clay (%),Sand (%),Texture,SOM (%),TC (%),TN (%),C:N,pH,EC (mS/m2),NO3-N (mg/L),NH4-N (mg/L)
Lincoln,LI1,172.4572188,-43.6398548,13.073049,549,79.04,0.79,20.18,Silt Loam,8.32,3.05,0.26,11.80,6.09,177.43,4.08,0.00
Tarras,TA1,169.386858,-44.838012,247.9812814,553,69.14,0.59,30.27,Silt Loam,8.54,3.35,0.31,10.70,6.31,129.35,3.37,0.00
Tarras,TA2,169.387609,-44.837811,249.0423272,553,78.41,0.67,20.93,Silt Loam,9.65,3.29,0.30,11.60,5.79,149.60,5.43,0.49
Leslie Hills,LH1,172.8242966,-42.6853432,252.1461438,605,65.20,0.55,34.25,Silt Loam,12.18,5.11,0.41,12.50,5.69,118.75,1.63,1.09
Leslie Hills,LH2,172.8240372,-42.6859794,251.6094143,605,69.72,0.71,29.57,Silt Loam,10.87,4.32,0.35,12.40,5.41,87.00,0.54,0.29
Waipara,WA1,172.7991195,-42.98345,140.3342283,629,86.17,0.64,13.20,Silt,8.94,3.67,0.30,12.20,6.00,65.60,0.56,0.62
Waipara,WA2,172.7994431,-42.9832617,139.6107072,629,51.07,0.57,48.36,Silt Loam,11.49,4.53,0.38,12.00,5.76,64.65,0.49,0.25
Tuahiwi,TU1,172.6597315,-43.3453225,3.3237027,630,85.52,1.94,12.54,Silt,13.28,4.91,0.46,10.70,6.68,147.55,2.12,0.24
Tuahiwi,TU2,172.6602447,-43.3450238,2.8830797,630,88.29,2.15,9.55,Silt,12.31,4.36,0.40,11.00,6.57,120.05,1.59,0.00
Shingle Creek,SC1,169.298168,-45.408026,370.5086357,640,55.30,0.76,43.94,Silt Loam,6.00,2.35,0.21,11.20,6.23,113.45,1.46,1.54
Shingle Creek,SC2,169.2982675,-45.4083973,374.332166,640,66.11,1.04,32.85,Silt Loam,8.55,3.17,0.28,11.30,6.11,74.70,1.02,0.00
Table Hill,TH1,169.8828,-46.1042,26.0913105,902,54.63,0.57,44.80,Silt Loam,7.52,2.61,0.21,12.40,6.22,109.50,2.48,0.00
Manuka Creek,MC1,169.8181369,-46.0196096,299.9442126,953,77.20,0.77,22.03,Silt Loam,11.58,3.74,0.30,12.30,5.76,82.05,1.09,1.25
Manuka Creek,MC2,169.8194525,-46.0199103,301.0170446,953,74.58,0.99,24.42,Silt Loam,14.83,4.49,0.41,11.00,5.47,269.00,8.37,2.66
Rahu Saddle,RS1,171.9377623,-42.1719937,257.927073,1918,49.73,0.85,49.42,Silt Loam,10.38,3.58,0.20,17.50,5.80,117.45,3.32,0.00
Rahu Saddle,RS2,171.9375644,-42.1715286,254.7204012,1918,57.74,0.85,41.41,Silt Loam,13.67,5.29,0.25,21.20,5.86,189.60,4.61,0.00
Makarora,MA1,169.213604,-44.25428,264.182261,2478,76.94,0.29,22.77,Silt Loam,6.18,1.89,0.14,13.90,5.20,131.45,2.01,0.00
Makarora,MA2,169.21347,-44.253815,259.3093668,2478,74.78,0.27,24.95,Silt Loam,5.78,1.83,0.13,14.00,5.21,86.60,1.49,0.12
Kumara Junction,KJ1,171.1657431,-42.6098213,52.9220176,2779,29.98,0.07,69.95,Sandy Loam,20.30,7.72,0.61,12.60,6.14,201.00,2.92,0.00
Kumara Junction,KJ2,171.1622323,-42.6086934,56.9460047,2779,30.28,0.07,69.65,Sandy Loam,28.51,12.50,0.85,14.70,5.37,115.55,1.22,2.07
Kumara Junction,KJ3,171.1617385,-42.6086474,57.1808346,2779,29.53,0.06,70.40,Sandy Loam,26.44,12.40,0.88,14.10,5.26,196.95,2.58,1.84
Haast,HA1,169.032852,-43.853476,9.9977577,3158,79.64,0.30,20.06,Silt,5.21,1.72,0.14,12.40,4.82,94.60,1.13,2.67
Haast,HA2,169.033424,-43.85052,7.1049268,3158,82.93,0.24,16.83,Silt,7.22,2.85,0.21,13.40,5.74,36.85,0.26,1.73
Kakapotahi,KP1,170.703902,-42.99001,9.9977265,3439,46.36,0.23,53.42,Sandy Loam,14.74,5.52,0.43,12.90,4.75,276.50,4.73,0.66
Kakapotahi,KP2,170.703874,-42.990306,9.9977338,3439,39.13,0.16,60.71,Sandy Loam,14.15,5.37,0.45,12.00,4.95,303.00,3.07,0.00
Karangarua,KR1,169.915726,-43.489294,50.3322064,4967,47.74,0.21,52.06,Sandy Loam,4.32,1.43,0.08,17.00,4.92,97.65,0.44,2.18
Karangarua,KR2,169.916402,-43.489012,49.0646207,4967,35.61,0.20,64.19,Sandy Loam,9.55,3.54,0.27,13.20,4.62,267.00,4.87,0.00
